kind,domain,rule,method,against,n_classes,value,ci_low,ci_high,separates,n_pos,n_neg,n_tie,p_exact,p_holm,min_p,family,degenerate
relevance_paired,robotics,top5,SHAP,GES,3,46.7,20.0,66.7,n/a,3,0,0,0.2500,,0.25000,exploratory,no
relevance_paired,robotics,top5,SHAP,CAM-UV,3,22.2,-13.3,53.3,n/a,2,1,0,1.0000,,0.25000,exploratory,no
consistency,healthcare,top10,causal,,20,0.734,0.723,0.746,,,,,,,0.00000,,no
consistency,healthcare,top10,neural,,20,0.810,0.777,0.844,,,,,,,0.00000,,no
consistency,healthcare,top3,causal,,20,0.314,0.282,0.346,,,,,,,0.00000,,no
consistency,healthcare,top3,neural,,20,0.360,0.275,0.450,,,,,,,0.00000,,no
consistency,healthcare,top5,causal,,20,0.431,0.398,0.465,,,,,,,0.00000,,no
consistency,healthcare,top5,neural,,20,0.456,0.412,0.502,,,,,,,0.00000,,no
consistency,industrial,top10,causal,,20,0.338,0.319,0.358,,,,,,,0.00000,,no
consistency,industrial,top10,neural,,20,0.653,0.542,0.762,,,,,,,0.00000,,no
consistency,industrial,top3,causal,,20,0.272,0.208,0.346,,,,,,,0.00000,,no
consistency,industrial,top3,neural,,20,0.697,0.578,0.810,,,,,,,0.00000,,no
consistency,industrial,top5,causal,,20,0.271,0.237,0.313,,,,,,,0.00000,,no
consistency,industrial,top5,neural,,20,0.673,0.563,0.777,,,,,,,0.00000,,no
consistency,robotics,top10,causal,,3,0.348,0.259,0.429,,,,,,,0.25000,,no
consistency,robotics,top10,neural,,3,0.440,0.369,0.502,,,,,,,0.25000,,no
consistency,robotics,top3,causal,,3,0.380,0.128,0.722,,,,,,,0.25000,,no
consistency,robotics,top3,neural,,3,0.522,0.233,0.667,,,,,,,0.25000,,no
consistency,robotics,top5,causal,,3,0.322,0.262,0.431,,,,,,,0.25000,,no
consistency,robotics,top5,neural,,3,0.590,0.263,1.000,,,,,,,0.25000,,no
consistency_paired,healthcare,top10,neural,causal,20,0.076,0.044,0.109,no,14,6,0,0.1153,,0.00000,,no
consistency_paired,healthcare,top3,neural,causal,20,0.046,-0.035,0.129,no,14,6,0,0.1153,,0.00000,,no
consistency_paired,healthcare,top5,neural,causal,20,0.025,-0.028,0.072,no,13,7,0,0.2632,,0.00000,,no
consistency_paired,industrial,top10,neural,causal,20,0.314,0.210,0.420,yes,18,2,0,0.0004,,0.00000,,no
consistency_paired,industrial,top3,neural,causal,20,0.425,0.329,0.521,yes,20,0,0,0.0000,,0.00000,,no
consistency_paired,industrial,top5,neural,causal,20,0.402,0.297,0.504,yes,19,1,0,0.0000,,0.00000,,no
consistency_paired,robotics,top10,neural,causal,3,0.092,-0.060,0.243,n/a,2,1,0,1.0000,,0.25000,,no
consistency_paired,robotics,top3,neural,causal,3,0.143,-0.489,0.539,n/a,2,1,0,1.0000,,0.25000,,no
consistency_paired,robotics,top5,neural,causal,3,0.268,-0.168,0.738,n/a,2,1,0,1.0000,,0.25000,,no
