Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_4,42,XMEAS_32,0.754139
Industrial (TEP),Linear / Ridge,Fault_4,43,XMEAS_8,0.753394
Industrial (TEP),Linear / Ridge,Fault_4,44,XMEAS_14,0.711733
Industrial (TEP),Linear / Ridge,Fault_4,45,XMEAS_26,0.672576
Industrial (TEP),Linear / Ridge,Fault_4,46,XMEAS_6,0.636257
Industrial (TEP),Linear / Ridge,Fault_4,47,XMEAS_38,0.635540
Industrial (TEP),Linear / Ridge,Fault_4,48,XMEAS_31,0.624481
Industrial (TEP),Linear / Ridge,Fault_4,49,XMEAS_2,0.606495
Industrial (TEP),Linear / Ridge,Fault_4,50,XMEAS_9,0.551386
Industrial (TEP),Linear / Ridge,Fault_4,51,XMEAS_40,0.509626
Industrial (TEP),Linear / Ridge,Fault_4,52,XMEAS_7,0.505685
Industrial (TEP),Linear / Ridge,Fault_5,1,XMV_11,58.235489
Industrial (TEP),Linear / Ridge,Fault_5,2,XMEAS_17,39.744704
Industrial (TEP),Linear / Ridge,Fault_5,3,XMEAS_20,28.119027
Industrial (TEP),Linear / Ridge,Fault_5,4,XMV_9,12.155081
Industrial (TEP),Linear / Ridge,Fault_5,5,XMEAS_19,4.898662
Industrial (TEP),Linear / Ridge,Fault_5,6,XMEAS_30,4.454776
Industrial (TEP),Linear / Ridge,Fault_5,7,XMV_4,4.357649
Industrial (TEP),Linear / Ridge,Fault_5,8,XMEAS_1,4.326549
Industrial (TEP),Linear / Ridge,Fault_5,9,XMEAS_7,4.244799
Industrial (TEP),Linear / Ridge,Fault_5,10,XMEAS_4,4.178295
Industrial (TEP),Linear / Ridge,Fault_5,11,XMEAS_16,3.729363
Industrial (TEP),Linear / Ridge,Fault_5,12,XMEAS_18,3.521710
Industrial (TEP),Linear / Ridge,Fault_5,13,XMEAS_27,3.385631
Industrial (TEP),Linear / Ridge,Fault_5,14,XMV_5,3.173831
Industrial (TEP),Linear / Ridge,Fault_5,15,XMEAS_38,3.052885
Industrial (TEP),Linear / Ridge,Fault_5,16,XMV_2,3.012803
Industrial (TEP),Linear / Ridge,Fault_5,17,XMEAS_25,2.927917
Industrial (TEP),Linear / Ridge,Fault_5,18,XMEAS_22,2.871544
Industrial (TEP),Linear / Ridge,Fault_5,19,XMEAS_35,2.848059
