Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_16,6,AVF,1.068783
Healthcare (ECG),Linear / Ridge,Attack_16,7,V4,0.975867
Healthcare (ECG),Linear / Ridge,Attack_16,8,AVL,0.836197
Healthcare (ECG),Linear / Ridge,Attack_16,9,I,0.779041
Healthcare (ECG),Linear / Ridge,Attack_16,10,V6,0.743972
Healthcare (ECG),Linear / Ridge,Attack_16,11,V1,0.674249
Healthcare (ECG),Linear / Ridge,Attack_16,12,V5,0.649155
Healthcare (ECG),Linear / Ridge,Attack_17,1,V5,2.023594
Healthcare (ECG),Linear / Ridge,Attack_17,2,V4,1.665413
Healthcare (ECG),Linear / Ridge,Attack_17,3,II,1.558403
Healthcare (ECG),Linear / Ridge,Attack_17,4,V6,1.377332
Healthcare (ECG),Linear / Ridge,Attack_17,5,V3,1.265259
Healthcare (ECG),Linear / Ridge,Attack_17,6,III,1.259485
Healthcare (ECG),Linear / Ridge,Attack_17,7,AVF,1.213400
Healthcare (ECG),Linear / Ridge,Attack_17,8,I,1.051811
Healthcare (ECG),Linear / Ridge,Attack_17,9,AVR,0.905097
Healthcare (ECG),Linear / Ridge,Attack_17,10,AVL,0.892869
Healthcare (ECG),Linear / Ridge,Attack_17,11,V2,0.441879
Healthcare (ECG),Linear / Ridge,Attack_17,12,V1,0.432773
Healthcare (ECG),Linear / Ridge,Attack_18,1,V4,1.691832
Healthcare (ECG),Linear / Ridge,Attack_18,2,V3,1.615220
Healthcare (ECG),Linear / Ridge,Attack_18,3,V5,1.479295
Healthcare (ECG),Linear / Ridge,Attack_18,4,V2,1.443344
Healthcare (ECG),Linear / Ridge,Attack_18,5,AVR,1.421861
Healthcare (ECG),Linear / Ridge,Attack_18,6,II,0.885457
Healthcare (ECG),Linear / Ridge,Attack_18,7,I,0.820686
Healthcare (ECG),Linear / Ridge,Attack_18,8,V6,0.809978
Healthcare (ECG),Linear / Ridge,Attack_18,9,AVL,0.792397
Healthcare (ECG),Linear / Ridge,Attack_18,10,V1,0.752279
Healthcare (ECG),Linear / Ridge,Attack_18,11,III,0.719733
Healthcare (ECG),Linear / Ridge,Attack_18,12,AVF,0.631219
Healthcare (ECG),Linear / Ridge,Attack_19,1,AVL,1.254219
Healthcare (ECG),Linear / Ridge,Attack_19,2,V1,1.249060
Healthcare (ECG),Linear / Ridge,Attack_19,3,I,1.086413
Healthcare (ECG),Linear / Ridge,Attack_19,4,V3,1.008233
Healthcare (ECG),Linear / Ridge,Attack_19,5,III,0.947467
Healthcare (ECG),Linear / Ridge,Attack_19,6,II,0.866675
Healthcare (ECG),Linear / Ridge,Attack_19,7,AVR,0.860223
Healthcare (ECG),Linear / Ridge,Attack_19,8,V4,0.836334
Healthcare (ECG),Linear / Ridge,Attack_19,9,V2,0.753754
Healthcare (ECG),Linear / Ridge,Attack_19,10,V5,0.717731
Healthcare (ECG),Linear / Ridge,Attack_19,11,AVF,0.374039
Healthcare (ECG),Linear / Ridge,Attack_19,12,V6,0.353522
Healthcare (ECG),Linear / Ridge,Attack_20,1,V6,2.200474
Healthcare (ECG),Linear / Ridge,Attack_20,2,V5,1.528880
Healthcare (ECG),Linear / Ridge,Attack_20,3,AVR,1.253786
Healthcare (ECG),Linear / Ridge,Attack_20,4,V3,1.247143
Healthcare (ECG),Linear / Ridge,Attack_20,5,AVL,0.931652
Healthcare (ECG),Linear / Ridge,Attack_20,6,AVF,0.845572
Healthcare (ECG),Linear / Ridge,Attack_20,7,I,0.779260
Healthcare (ECG),Linear / Ridge,Attack_20,8,V2,0.662337
Healthcare (ECG),Linear / Ridge,Attack_20,9,II,0.482770
Healthcare (ECG),Linear / Ridge,Attack_20,10,V4,0.416643
Healthcare (ECG),Linear / Ridge,Attack_20,11,III,0.412440
Healthcare (ECG),Linear / Ridge,Attack_20,12,V1,0.324923
Healthcare (ECG),Polynomial degree 3,Attack_1,1,AVF,1.839971
Healthcare (ECG),Polynomial degree 3,Attack_1,2,II,1.580027
Healthcare (ECG),Polynomial degree 3,Attack_1,3,AVL,1.173146
Healthcare (ECG),Polynomial degree 3,Attack_1,4,V2,1.142946
Healthcare (ECG),Polynomial degree 3,Attack_1,5,V3,1.006728
Healthcare (ECG),Polynomial degree 3,Attack_1,6,III,0.976804
Healthcare (ECG),Polynomial degree 3,Attack_1,7,V5,0.965573
Healthcare (ECG),Polynomial degree 3,Attack_1,8,V6,0.949580
Healthcare (ECG),Polynomial degree 3,Attack_1,9,V4,0.879374
Healthcare (ECG),Polynomial degree 3,Attack_1,10,AVR,0.835360
Healthcare (ECG),Polynomial degree 3,Attack_1,11,V1,0.553588
Healthcare (ECG),Polynomial degree 3,Attack_1,12,I,0.532668
Healthcare (ECG),Polynomial degree 3,Attack_2,1,V4,3.583111
Healthcare (ECG),Polynomial degree 3,Attack_2,2,V3,2.249222
Healthcare (ECG),Polynomial degree 3,Attack_2,3,V5,2.246936
