Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Polynomial degree 3,Attack_8,6,V6,1.194962
Healthcare (ECG),Polynomial degree 3,Attack_8,7,V1,0.975959
Healthcare (ECG),Polynomial degree 3,Attack_8,8,AVF,0.572615
Healthcare (ECG),Polynomial degree 3,Attack_8,9,II,0.554325
Healthcare (ECG),Polynomial degree 3,Attack_9,1,V3,1.651435
Healthcare (ECG),Polynomial degree 3,Attack_9,2,V6,1.532085
Healthcare (ECG),Polynomial degree 3,Attack_9,3,V4,1.313253
Healthcare (ECG),Polynomial degree 3,Attack_9,4,AVL,1.299388
Healthcare (ECG),Polynomial degree 3,Attack_9,5,II,1.291225
Healthcare (ECG),Polynomial degree 3,Attack_9,6,III,1.067699
Healthcare (ECG),Polynomial degree 3,Attack_9,7,AVF,1.048308
Healthcare (ECG),Polynomial degree 3,Attack_9,8,I,0.754580
Healthcare (ECG),Polynomial degree 3,Attack_9,9,V1,0.749129
Healthcare (ECG),Polynomial degree 3,Attack_10,1,V1,2.426818
Healthcare (ECG),Polynomial degree 3,Attack_10,2,V3,2.382525
Healthcare (ECG),Polynomial degree 3,Attack_10,3,AVL,1.547500
Healthcare (ECG),Polynomial degree 3,Attack_10,4,V4,1.532387
Healthcare (ECG),Polynomial degree 3,Attack_10,5,AVF,1.085644
Healthcare (ECG),Polynomial degree 3,Attack_10,6,III,0.922538
Healthcare (ECG),Polynomial degree 3,Attack_10,7,II,0.739147
Healthcare (ECG),Polynomial degree 3,Attack_10,8,V6,0.729726
Healthcare (ECG),Polynomial degree 3,Attack_10,9,I,0.665538
Healthcare (ECG),Polynomial degree 3,Attack_11,1,III,2.123314
Healthcare (ECG),Polynomial degree 3,Attack_11,2,AVF,2.039277
Healthcare (ECG),Polynomial degree 3,Attack_11,3,II,1.785744
Healthcare (ECG),Polynomial degree 3,Attack_11,4,V4,1.676401
Healthcare (ECG),Polynomial degree 3,Attack_11,5,I,1.596526
Healthcare (ECG),Polynomial degree 3,Attack_11,6,AVL,1.021208
Healthcare (ECG),Polynomial degree 3,Attack_11,7,V3,0.979518
Healthcare (ECG),Polynomial degree 3,Attack_11,8,V6,0.676678
Healthcare (ECG),Polynomial degree 3,Attack_11,9,V1,0.613554
Healthcare (ECG),Polynomial degree 3,Attack_12,1,I,1.790782
Healthcare (ECG),Polynomial degree 3,Attack_12,2,AVL,1.722037
Healthcare (ECG),Polynomial degree 3,Attack_12,3,V6,1.084763
Healthcare (ECG),Polynomial degree 3,Attack_12,4,V4,0.986035
Healthcare (ECG),Polynomial degree 3,Attack_12,5,III,0.922961
Healthcare (ECG),Polynomial degree 3,Attack_12,6,V3,0.885682
Healthcare (ECG),Polynomial degree 3,Attack_12,7,II,0.787723
Healthcare (ECG),Polynomial degree 3,Attack_12,8,V1,0.779032
Healthcare (ECG),Polynomial degree 3,Attack_12,9,AVF,0.557798
Healthcare (ECG),Polynomial degree 3,Attack_13,1,AVF,2.124663
Healthcare (ECG),Polynomial degree 3,Attack_13,2,V3,1.750980
Healthcare (ECG),Polynomial degree 3,Attack_13,3,III,1.672311
Healthcare (ECG),Polynomial degree 3,Attack_13,4,AVL,1.513126
Healthcare (ECG),Polynomial degree 3,Attack_13,5,V4,1.384220
Healthcare (ECG),Polynomial degree 3,Attack_13,6,V1,1.199862
Healthcare (ECG),Polynomial degree 3,Attack_13,7,II,1.070203
Healthcare (ECG),Polynomial degree 3,Attack_13,8,V6,0.931476
Healthcare (ECG),Polynomial degree 3,Attack_13,9,I,0.524691
Healthcare (ECG),Polynomial degree 3,Attack_14,1,I,2.146407
Healthcare (ECG),Polynomial degree 3,Attack_14,2,II,1.674761
Healthcare (ECG),Polynomial degree 3,Attack_14,3,AVF,1.250836
Healthcare (ECG),Polynomial degree 3,Attack_14,4,V4,1.090000
Healthcare (ECG),Polynomial degree 3,Attack_14,5,III,0.977984
Healthcare (ECG),Polynomial degree 3,Attack_14,6,V6,0.965158
Healthcare (ECG),Polynomial degree 3,Attack_14,7,AVL,0.760510
Healthcare (ECG),Polynomial degree 3,Attack_14,8,V3,0.754924
Healthcare (ECG),Polynomial degree 3,Attack_14,9,V1,0.607758
Healthcare (ECG),Polynomial degree 3,Attack_15,1,V6,2.393579
Healthcare (ECG),Polynomial degree 3,Attack_15,2,I,1.103901
Healthcare (ECG),Polynomial degree 3,Attack_15,3,V3,1.038955
Healthcare (ECG),Polynomial degree 3,Attack_15,4,AVF,0.996926
Healthcare (ECG),Polynomial degree 3,Attack_15,5,II,0.968311
Healthcare (ECG),Polynomial degree 3,Attack_15,6,V4,0.711585
Healthcare (ECG),Polynomial degree 3,Attack_15,7,III,0.698197
Healthcare (ECG),Polynomial degree 3,Attack_15,8,AVL,0.546768
Healthcare (ECG),Polynomial degree 3,Attack_15,9,V1,0.383506
Healthcare (ECG),Polynomial degree 3,Attack_16,1,V3,1.581264
Healthcare (ECG),Polynomial degree 3,Attack_16,2,V4,0.974036
Healthcare (ECG),Polynomial degree 3,Attack_16,3,AVF,0.971710
Healthcare (ECG),Polynomial degree 3,Attack_16,4,III,0.853036
Healthcare (ECG),Polynomial degree 3,Attack_16,5,I,0.806176
Healthcare (ECG),Polynomial degree 3,Attack_16,6,AVL,0.719096
Healthcare (ECG),Polynomial degree 3,Attack_16,7,II,0.649027
Healthcare (ECG),Polynomial degree 3,Attack_16,8,V6,0.491261
Healthcare (ECG),Polynomial degree 3,Attack_16,9,V1,0.458962
Healthcare (ECG),Polynomial degree 3,Attack_17,1,III,2.687465
Healthcare (ECG),Polynomial degree 3,Attack_17,2,AVL,2.489465
Healthcare (ECG),Polynomial degree 3,Attack_17,3,I,2.230904
Healthcare (ECG),Polynomial degree 3,Attack_17,4,V6,1.485599
Healthcare (ECG),Polynomial degree 3,Attack_17,5,AVF,1.384776
Healthcare (ECG),Polynomial degree 3,Attack_17,6,V1,0.978678
Healthcare (ECG),Polynomial degree 3,Attack_17,7,II,0.932079
Healthcare (ECG),Polynomial degree 3,Attack_17,8,V3,0.745065
Healthcare (ECG),Polynomial degree 3,Attack_17,9,V4,0.606658
Healthcare (ECG),Polynomial degree 3,Attack_18,1,V4,1.205306
Healthcare (ECG),Polynomial degree 3,Attack_18,2,V3,1.115991
Healthcare (ECG),Polynomial degree 3,Attack_18,3,V6,0.972991
Healthcare (ECG),Polynomial degree 3,Attack_18,4,I,0.799167
Healthcare (ECG),Polynomial degree 3,Attack_18,5,II,0.777357
Healthcare (ECG),Polynomial degree 3,Attack_18,6,AVL,0.736188
Healthcare (ECG),Polynomial degree 3,Attack_18,7,AVF,0.689455
Healthcare (ECG),Polynomial degree 3,Attack_18,8,III,0.667083
Healthcare (ECG),Polynomial degree 3,Attack_18,9,V1,0.339468
Healthcare (ECG),Polynomial degree 3,Attack_19,1,I,1.205543
Healthcare (ECG),Polynomial degree 3,Attack_19,2,III,1.172919
Healthcare (ECG),Polynomial degree 3,Attack_19,3,V1,1.015010
Healthcare (ECG),Polynomial degree 3,Attack_19,4,AVF,0.972160
Healthcare (ECG),Polynomial degree 3,Attack_19,5,AVL,0.908893
Healthcare (ECG),Polynomial degree 3,Attack_19,6,II,0.799781
Healthcare (ECG),Polynomial degree 3,Attack_19,7,V3,0.749799
Healthcare (ECG),Polynomial degree 3,Attack_19,8,V6,0.641675
Healthcare (ECG),Polynomial degree 3,Attack_19,9,V4,0.572624
Healthcare (ECG),Polynomial degree 3,Attack_20,1,V3,1.745364
Healthcare (ECG),Polynomial degree 3,Attack_20,2,V4,1.600749
Healthcare (ECG),Polynomial degree 3,Attack_20,3,V6,1.117771
Healthcare (ECG),Polynomial degree 3,Attack_20,4,I,0.714683
Healthcare (ECG),Polynomial degree 3,Attack_20,5,II,0.692341
Healthcare (ECG),Polynomial degree 3,Attack_20,6,AVF,0.569765
Healthcare (ECG),Polynomial degree 3,Attack_20,7,III,0.537455
Healthcare (ECG),Polynomial degree 3,Attack_20,8,AVL,0.392843
Healthcare (ECG),Polynomial degree 3,Attack_20,9,V1,0.306495
Healthcare (ECG),RBF + Ridge,Attack_1,1,III,5.877569
Healthcare (ECG),RBF + Ridge,Attack_1,2,II,5.297979
Healthcare (ECG),RBF + Ridge,Attack_1,3,AVF,5.296109
Healthcare (ECG),RBF + Ridge,Attack_1,4,AVL,4.193093
Healthcare (ECG),RBF + Ridge,Attack_1,5,V3,2.859702
Healthcare (ECG),RBF + Ridge,Attack_1,6,V6,2.667292
Healthcare (ECG),RBF + Ridge,Attack_1,7,V4,2.375710
Healthcare (ECG),RBF + Ridge,Attack_1,8,I,2.213582
Healthcare (ECG),RBF + Ridge,Attack_1,9,V1,1.897309
Healthcare (ECG),RBF + Ridge,Attack_2,1,V4,4.777173
Healthcare (ECG),RBF + Ridge,Attack_2,2,AVL,2.056814
Healthcare (ECG),RBF + Ridge,Attack_2,3,I,1.903383
Healthcare (ECG),RBF + Ridge,Attack_2,4,III,1.460956
Healthcare (ECG),RBF + Ridge,Attack_2,5,V3,1.268634
Healthcare (ECG),RBF + Ridge,Attack_2,6,II,1.239217
Healthcare (ECG),RBF + Ridge,Attack_2,7,AVF,1.179417
Healthcare (ECG),RBF + Ridge,Attack_2,8,V6,1.106160
Healthcare (ECG),RBF + Ridge,Attack_2,9,V1,0.743667
Healthcare (ECG),RBF + Ridge,Attack_3,1,V3,1.365860
Healthcare (ECG),RBF + Ridge,Attack_3,2,V4,1.044839
Healthcare (ECG),RBF + Ridge,Attack_3,3,V6,0.922651
Healthcare (ECG),RBF + Ridge,Attack_3,4,AVL,0.743279
Healthcare (ECG),RBF + Ridge,Attack_3,5,III,0.635933
Healthcare (ECG),RBF + Ridge,Attack_3,6,I,0.632590
Healthcare (ECG),RBF + Ridge,Attack_3,7,AVF,0.617497
Healthcare (ECG),RBF + Ridge,Attack_3,8,II,0.608213
Healthcare (ECG),RBF + Ridge,Attack_3,9,V1,0.510320
Healthcare (ECG),RBF + Ridge,Attack_4,1,V6,1.352026
Healthcare (ECG),RBF + Ridge,Attack_4,2,V3,1.238290
Healthcare (ECG),RBF + Ridge,Attack_4,3,V4,1.046914
Healthcare (ECG),RBF + Ridge,Attack_4,4,III,0.959076
Healthcare (ECG),RBF + Ridge,Attack_4,5,II,0.868551
Healthcare (ECG),RBF + Ridge,Attack_4,6,V1,0.840586
