Dataset,Model Variant,Fault Name,Rank,Variable,Score
Industrial (TEP),Linear / Ridge,Fault_6,15,XMEAS_29,8.603886
Industrial (TEP),Linear / Ridge,Fault_6,16,XMEAS_11,7.253520
Industrial (TEP),Linear / Ridge,Fault_6,17,XMV_9,6.010311
Industrial (TEP),Linear / Ridge,Fault_6,18,XMEAS_27,5.070040
Industrial (TEP),Linear / Ridge,Fault_6,19,XMEAS_38,4.497133
Industrial (TEP),Linear / Ridge,Fault_6,20,XMEAS_33,3.928943
Industrial (TEP),Linear / Ridge,Fault_6,21,XMV_1,3.924350
Industrial (TEP),Linear / Ridge,Fault_6,22,XMEAS_2,3.696543
Industrial (TEP),Linear / Ridge,Fault_6,23,XMEAS_4,3.656885
Industrial (TEP),Linear / Ridge,Fault_6,24,XMEAS_3,3.300356
Industrial (TEP),Linear / Ridge,Fault_6,25,XMEAS_17,1.989425
Industrial (TEP),Linear / Ridge,Fault_7,1,XMV_5,29.910648
Industrial (TEP),Linear / Ridge,Fault_7,2,XMV_9,19.886765
Industrial (TEP),Linear / Ridge,Fault_7,3,XMEAS_21,17.173435
Industrial (TEP),Linear / Ridge,Fault_7,4,XMEAS_11,10.095216
Industrial (TEP),Linear / Ridge,Fault_7,5,XMEAS_33,9.951127
Industrial (TEP),Linear / Ridge,Fault_7,6,XMEAS_20,8.753349
Industrial (TEP),Linear / Ridge,Fault_7,7,XMEAS_7,7.950913
Industrial (TEP),Linear / Ridge,Fault_7,8,XMEAS_18,7.156495
Industrial (TEP),Linear / Ridge,Fault_7,9,XMEAS_1,6.600196
Industrial (TEP),Linear / Ridge,Fault_7,10,XMEAS_13,6.437871
Industrial (TEP),Linear / Ridge,Fault_7,11,XMEAS_4,5.880460
Industrial (TEP),Linear / Ridge,Fault_7,12,XMEAS_16,5.523107
Industrial (TEP),Linear / Ridge,Fault_7,13,XMEAS_38,4.546272
Industrial (TEP),Linear / Ridge,Fault_7,14,XMV_10,3.682836
Industrial (TEP),Linear / Ridge,Fault_7,15,XMEAS_25,3.545035
Industrial (TEP),Linear / Ridge,Fault_7,16,XMV_6,3.392314
Industrial (TEP),Linear / Ridge,Fault_7,17,XMEAS_31,3.365153
Industrial (TEP),Linear / Ridge,Fault_7,18,XMEAS_29,3.090705
Industrial (TEP),Linear / Ridge,Fault_7,19,XMV_3,3.082224
Industrial (TEP),Linear / Ridge,Fault_7,20,XMEAS_27,2.875360
Industrial (TEP),Linear / Ridge,Fault_7,21,XMV_1,2.667802
Industrial (TEP),Linear / Ridge,Fault_7,22,XMEAS_3,2.131786
Industrial (TEP),Linear / Ridge,Fault_7,23,XMEAS_2,1.816470
Industrial (TEP),Linear / Ridge,Fault_7,24,XMEAS_17,1.722317
Industrial (TEP),Linear / Ridge,Fault_7,25,XMEAS_34,1.406119
Industrial (TEP),Linear / Ridge,Fault_8,1,XMV_5,24.575738
Industrial (TEP),Linear / Ridge,Fault_8,2,XMEAS_34,23.712854
Industrial (TEP),Linear / Ridge,Fault_8,3,XMEAS_31,18.841642
Industrial (TEP),Linear / Ridge,Fault_8,4,XMV_9,18.476619
Industrial (TEP),Linear / Ridge,Fault_8,5,XMV_6,16.403542
Industrial (TEP),Linear / Ridge,Fault_8,6,XMEAS_25,15.777333
Industrial (TEP),Linear / Ridge,Fault_8,7,XMEAS_21,14.760954
Industrial (TEP),Linear / Ridge,Fault_8,8,XMEAS_38,13.208504
Industrial (TEP),Linear / Ridge,Fault_8,9,XMEAS_29,12.445441
Industrial (TEP),Linear / Ridge,Fault_8,10,XMEAS_7,11.071111
Industrial (TEP),Linear / Ridge,Fault_8,11,XMEAS_11,10.083685
Industrial (TEP),Linear / Ridge,Fault_8,12,XMEAS_4,9.625627
Industrial (TEP),Linear / Ridge,Fault_8,13,XMEAS_16,8.998428
Industrial (TEP),Linear / Ridge,Fault_8,14,XMEAS_20,8.684711
Industrial (TEP),Linear / Ridge,Fault_8,15,XMEAS_33,8.535407
Industrial (TEP),Linear / Ridge,Fault_8,16,XMEAS_1,6.963965
Industrial (TEP),Linear / Ridge,Fault_8,17,XMEAS_18,6.358307
Industrial (TEP),Linear / Ridge,Fault_8,18,XMEAS_27,5.927378
Industrial (TEP),Linear / Ridge,Fault_8,19,XMV_10,5.151216
Industrial (TEP),Linear / Ridge,Fault_8,20,XMEAS_13,5.127771
Industrial (TEP),Linear / Ridge,Fault_8,21,XMV_3,4.657872
Industrial (TEP),Linear / Ridge,Fault_8,22,XMEAS_3,2.993417
Industrial (TEP),Linear / Ridge,Fault_8,23,XMEAS_2,1.761073
Industrial (TEP),Linear / Ridge,Fault_8,24,XMV_1,1.757217
Industrial (TEP),Linear / Ridge,Fault_8,25,XMEAS_17,1.482634
Industrial (TEP),Linear / Ridge,Fault_9,1,XMV_5,5.919174
Industrial (TEP),Linear / Ridge,Fault_9,2,XMEAS_18,3.267836
Industrial (TEP),Linear / Ridge,Fault_9,3,XMV_6,3.152311
Industrial (TEP),Linear / Ridge,Fault_9,4,XMEAS_20,2.972409
Industrial (TEP),Linear / Ridge,Fault_9,5,XMEAS_33,2.870686
Industrial (TEP),Linear / Ridge,Fault_9,6,XMV_1,2.696062
Industrial (TEP),Linear / Ridge,Fault_9,7,XMEAS_21,2.574818
Industrial (TEP),Linear / Ridge,Fault_9,8,XMV_9,2.124142
Industrial (TEP),Linear / Ridge,Fault_9,9,XMEAS_27,2.121831
Industrial (TEP),Linear / Ridge,Fault_9,10,XMEAS_13,2.009980
Industrial (TEP),Linear / Ridge,Fault_9,11,XMEAS_4,2.006867
